rank,title,url,artists,thumbnail,release_date,last_week_position,weeks_on_chart,weekly_views
89,Pardesiya,https://www.youtube.com/watch?v=N4wK3NtVRT0,"Sonu Nigam, Krishnakali Saha, Sachin-Jigar",https://lh3.googleusercontent.com/UBoz_It010HioAY9JYi9PKsMvt4dVTSfev6mM3AQCwNtc4Lhvqn1PV953zVoiPiVDmCEeuXrXP5AfEE=w180-h180-l90-rj,"Jul 30, 2025",81,13,"7,700,120"
90,Tum Jo Aaye,https://www.youtube.com/watch?v=kTXilT_KbUM,"Pritam, Rahat Fateh Ali Khan, Tulsi Kumar",https://lh3.googleusercontent.com/uV1_lkVf1rrdlgVLlqgrLNRygItbM6sfN_SjME5K7dUAU8_L7Qk2G4bt07pMLBHZFyesL2ASHs4ChFmkpg=w180-h180-l90-rj,"Jun 29, 2010",-,18,"7,659,052"
91,Y Que Fue?,https://www.youtube.com/watch?v=16nZ6K7sim4,Don Miguelo,https://lh3.googleusercontent.com/PZ3URyhJUWJ-Wpa3ta_0RZQOkWxKKswBDIAppv3lJElUlocZLuwYmoO7iOYhJ1j2WEspcNEYUtPSZZc=w180-h180-l90-rj,"Jul 25, 2020",91,18,"7,441,288"
92,MONTAGEM COMA,https://www.youtube.com/watch?v=EmmYDU3Rjpg,"Andromeda, elysian.",https://lh3.googleusercontent.com/o6ZdoJNwVr0iiXhXxjlRzje7EOIxwwSSZjrntjQ9Wzu7-95Xu3QzFro-GGP-1FBx271-A62V3XwOiPo=w180-h180-l90-rj,"Jun 5, 2025",59,11,"7,428,558"
93,Orang Baru Lebe Gacor,https://www.youtube.com/watch?v=0VOhIR3bnXY,"Ecko Show, Juan Reza, CHESYLINO",https://lh3.googleusercontent.com/ZZLsf7tUAUMWmRdlp6ovawII1rwNlVwcvPh1Sa-QEiAKJSmTLS_wd8c5PcwSuSskxZcnzRf47WC07w7B=w180-h180-l90-rj,"Sep 20, 2025",-,1,"7,404,410"
94,Monica,https://www.youtube.com/watch?v=neOasLBWoy0,"Anirudh Ravichander, Sublahshini, Asal Kolaar, Vishnu Edavan",https://lh3.googleusercontent.com/q8U3dsJi-ANbQqN9magAqRfyG6Mb-0wzMOcYOQj-9kwajuabDZMxD-_7M39y40t3sz_YuuKpI3d7VMKP=w180-h180-l90-rj,"Sep 11, 2025",79,17,"7,403,579"
95,EYES CLOSED,https://www.youtube.com/watch?v=EN1tMeXQii0,"JISOO, ZAYN",https://lh3.googleusercontent.com/wlbXRNtyHpvDDqkX79KEn45ESSsAPCPLZxPIv9RY1fDD6woWi2Gl7HC0qqNbR18ZWd6R-4nUcctouMLk=w180-h180-l90-rj,"Oct 9, 2025",74,4,"7,379,717"
96,Chikni Chameli,https://www.youtube.com/watch?v=QcQpqWhTBCE,"Ajay-Atul, Shreya Ghoshal",https://lh3.googleusercontent.com/P5Hyl5ho2FfN0o_FUyoBqnruglASS4vDib8gF9SxGD2V74LDPaFob443NBVbpXd7FF7-S5hqlHUwZbg=w180-h180-l90-rj,"Dec 16, 2011",90,9,"7,306,546"
97,सड़िया करिया,https://www.youtube.com/watch?v=fgLhVyrg5d8,"Ankush Raja, Karishma Kakkar",https://lh3.googleusercontent.com/FRNOkrileTESMdcaAIfC2_JeCc1sSp050zn2qO7evlwWzYgY6K5mQjZovSWbwjIhR2fmOHNiLa5J7dSX=w180-h180-l90-rj,"Dec 6, 2024",99,24,"7,282,930"
98,Quralay,https://www.youtube.com/watch?v=CRM13i0dEQo,G'aybulla Tursunov,https://lh3.googleusercontent.com/XKusnCTQXXktdS9K_72iUKXpixyXEf2oiSNYiDwwjIUrvB8nbpouo3WmmtF3hbQ60dGMh35xmD_bSFY=w180-h180-l90-rj,"Oct 23, 2025",-,1,"7,263,375"
99,Alamak,https://www.youtube.com/watch?v=_GpYWnWlgkg,"Rizky Febian, Adrian Khalif",https://lh3.googleusercontent.com/wfQSFgWsIlnHsl7-H4UsZMq453tN_gHErx3UXYSRE5Iy_wyXfnn9E1KIWy5r14H62Oa1tudjS0dTs5g=w180-h180-l90-rj,"Oct 2, 2025",71,5,"7,246,678"
100,Ngapain Repot,https://www.youtube.com/watch?v=L3aAE2O8_78,"Toton Caribo, Wizz Baker, Fresly Nikijuluw",https://lh3.googleusercontent.com/hCDoUcSIXXfImARC6CZh6qycS_TxMfKEk1Hh4zONsybJwNY5Ji_O08ImiFD0t2P4fDQx-UVzUq9M0V5qrg=w180-h180-l90-rj,"Apr 12, 2025",85,7,"7,237,944"
