rank,title,url,artists,thumbnail,release_date,last_week_position,weeks_on_chart,weekly_views
45,JANE DOE,https://www.youtube.com/watch?v=sPLqsLsooJY,"Kenshi Yonezu, Hikaru Utada",https://lh3.googleusercontent.com/Gn65QHGx26uZBC6Xtnn31y8TdqoIKqoa9az2Yw8ThFnA8EpszdJCoaCMbEiRjKa6kvStFWT9SkQHf0M=w180-h180-l90-rj,"Sep 21, 2025",40,7,"11,122,549"
46,AZUL,https://www.youtube.com/watch?v=vB0V3iCSzQw,"Guru Randhawa, Gurjit Gill, Lavish Dhiman",https://lh3.googleusercontent.com/yLhbDGXBtNLXSHlG1KaBk-x3L_e1Ewg1a4SQp5Om4-LHMYcpYZ-NipZf7OrcjEVkL7HxF4VZ9b2Lb4fFsA=w180-h180-l90-rj,"Aug 5, 2025",36,13,"10,932,384"
47,La Plena (W Sound 05),https://www.youtube.com/watch?v=F1_aOX0acbY,"W Sound, Beéle, Ovy On The Drums",https://lh3.googleusercontent.com/58MvPSGUVFo_Wn_3hbVI4QhTD_v-peEC4jFFrFzor1OHN8F79tRLRaCBRcBVz7cKWO2sYhvWp-lweeRBzA=w180-h180-l90-rj,"Feb 20, 2025",44,36,"10,661,987"
48,Night Changes,https://www.youtube.com/watch?v=syFZfO_wfMQ,One Direction,https://lh3.googleusercontent.com/fyfca39b6OXF-CpPJqI9ykwo9djxZROQcbAMfnO-oE7Yr4PLxpWZazQjW49qpW2I293WC6_ddDQyHe4=w180-h180-l90-rj,"Nov 14, 2014",-,25,"10,654,162"
49,P do Pecado (Ao Vivo),https://www.youtube.com/watch?v=eAIivxKZYZw,"Grupo Menos É Mais, Simone Mendes",https://lh3.googleusercontent.com/QyArkYieJBeh7Ax2Q3I69nMbbFCxp-fsmouADHRfraiJXZV8q2GoeEvtoka-V0nAgGyQNIQ5uS6iTLmz=w180-h180-l90-rj,"Apr 29, 2025",41,21,"10,621,205"
50,แก้บน,https://www.youtube.com/watch?v=hBK29bbOLS4,ก้านตอง ทุ่งเงิน,https://lh3.googleusercontent.com/Fw5UN_8VENuFdLW3HPp5z_6cv-PAGWnL7YsaZn6ySs4a-8zi5oBPDuCqkWts_KVJMnQQB1YognAA6Hg=w180-h180-l90-rj,"Oct 1, 2025",49,3,"10,554,737"
51,Have You Ever Seen The Rain,https://www.youtube.com/watch?v=u1V8YRJnr4Q,Creedence Clearwater Revival,https://lh3.googleusercontent.com/8idZ5vqqC-UO_uSN9VZch3q2sNTEsWkP9JPYEbAPLuIO26Iv2fEXfwK5Ls9x8Cu7ntwSeHqo0JS_hsWe=w180-h180-l90-rj,"Dec 9, 1970",77,2,"10,316,587"
52,back to friends,https://www.youtube.com/watch?v=c8zq4kAn_O0,sombr,https://lh3.googleusercontent.com/3MXiigZPuOrnx5imqnNpcemYNlkYqCoMeZBnCr8obqew8nNUf-cFqviScHNNo207t_7hs4ToWW_vvc862g=w180-h180-l90-rj,"Apr 3, 2025",54,20,"10,205,361"
53,Berghain,https://www.youtube.com/watch?v=htQBS2Ikz6c,"ROSALÍA, Björk, Yves Tumor",https://lh3.googleusercontent.com/dTpYWRisnoZ56BD2GCI_DblY8iJdhwAEg3IAlqbVfn0zBuZBNFBFmX8ZH-OwNV3Cq2k1zojPYcMVgz7e=w180-h180-l90-rj,"Oct 27, 2025",42,2,"10,096,348"
54,El Beneficio De La Duda,https://www.youtube.com/watch?v=iIgsCYgo5P4,Grupo Firme,https://lh3.googleusercontent.com/qtmdORuF3VSAEFpmhk8F4Qn4jmQrQl_90iipVPpTp9ay6A3llKb5XUqbdSWgm8baMkvZw3R-U_Ec2E0=w180-h180-l90-rj,"May 27, 2024",57,26,"10,077,000"
55,All I Want for Christmas Is You,https://www.youtube.com/watch?v=aAkMkVFwAoo,Mariah Carey,https://lh3.googleusercontent.com/p2KexwmjEYAxWpU8YDL5ZO-BcH1Qnr51nznrX04W-5a16aKWCAwCaEgzwP7cMrCjJhmlJvuxilrCXU0=w180-h180-l90-rj,"Oct 28, 1994",-,67,"10,001,368"
56,Naam Chale,https://www.youtube.com/watch?v=tYKrORILFOg,Vikram Sarkar,https://lh3.googleusercontent.com/FM3a61a3rOPOSqCn2z2mTZytekT3W3IGTzwJLCziejt5HtRmGnepx2ECJJL2PcJlbIyLds_7DjiY1Ccy=w180-h180-l90-rj,"Jul 1, 2025",47,13,"9,956,251"
57,HOLLYWOOD,https://www.youtube.com/watch?v=rCL8-CiGSmc,"Peso Pluma, Estevan Plazola",https://lh3.googleusercontent.com/ogwQxmDX8MzAYHvAGZYCn69B2mu6O8p7X7Z0tQWucQvOnREKOuCt6Udh0Ob3OCKRhHk44j9vmMT78E0=w180-h180-l90-rj,"Jun 20, 2024",-,27,"9,752,362"
58,Tum Ho Toh,https://www.youtube.com/watch?v=rOUuGvJkBrQ,"Vishal Mishra, Hansika Pareek",https://lh3.googleusercontent.com/s58GQHGHBILW5g-zX03kg_7jUGWA5IXPqt9-UweajvXx3BYi_Q05Gw2ZQvVyQGUyGt47m5v1QAA9qYAv=w180-h180-l90-rj,"Jun 17, 2025",63,16,"9,720,045"
59,SEQUÊNCIA FEITICEIRA (feat. MC Nito),https://www.youtube.com/watch?v=_zKnEm9xPWw,"PEDRO SAMPAIO, MC GW, Mc Jhey, MC Rodrigo do CN",https://lh3.googleusercontent.com/WT4Awv9ybDiuE3pfxKsYm410E-fL8-hYnn2b2HxUG6m89VKyOrmzW9LrFPiK7tYGaxUCgQRwcfZqKT0=w180-h180-l90-rj,"Aug 28, 2025",53,5,"9,699,327"
60,What's Up?,https://www.youtube.com/watch?v=6NXnxTNIWkc,4 Non Blondes,https://lh3.googleusercontent.com/g3pF3N2u1sFvtgZNjcgBoCgI3gAzLvy1jgA5IilHxtxSZ_yaEKSZ2hNkDZQvxbG16kBW1WN9XVZfoJ4=w180-h180-s-l90-rj,"Jan 1, 1992",76,4,"9,606,582"
61,NO BATIDÃO,https://www.youtube.com/watch?v=ZB0amc1TZ3Y,"ZXKAI, slxughter",https://i.ytimg.com/vi/ZB0amc1TZ3Y/default.jpg,"Sep 4, 2025",96,2,"9,437,768"
62,Coca Cola 2 (feat. Neha Kakkar),https://www.youtube.com/watch?v=mp5nanjOul8,"Tony Kakkar, Junior",https://lh3.googleusercontent.com/3vw8IUpZpYT-v0GXq4aD4ycmyYH5Zsi2us1Gd8O7obUYzNWuIa0bdYMZes33pcl_BD8LLPCm_ZTJB1Ku=w180-h180-l90-rj,"Oct 9, 2025",-,1,"9,421,118"
63,Barbaad,https://www.youtube.com/watch?v=0v5eHPfy5Lk,Jubin Nautiyal,https://lh3.googleusercontent.com/Jocz2hr1r9YJoXGYqfzqsqoTRiI4a5qISmvxIEcGX4zoxwrX3nEcvB8E5ZmZ-FnUoNDPmHhCuPdOyJA=w180-h180-l90-rj,"Jun 10, 2025",52,16,"9,389,738"
64,Takedown,https://www.youtube.com/watch?v=Ve_a9CXjlQc,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",https://lh3.googleusercontent.com/ogvvJ4j4vEP1XxsfAJ1wZs-O7dRUe_9Ek_8ui-A9QZ59WaNhB4DPaND_SCsa3uYb6Wq3N69w8mJOF7oE=w180-h180-l90-rj,"Jun 19, 2025",69,19,"9,380,289"
65,Thriller,https://www.youtube.com/watch?v=sOnqjkJTMaA,Michael Jackson,https://lh3.googleusercontent.com/URvHCfI2iyGAlAwqqBFeaFhU9DeKk_iuX40OIIIj8Zp0wIT3BVsJ2JRMwLLbUB9EZS7t7oDlMrI2S3OvGA=w180-h180-l90-rj,"Nov 30, 1982",-,8,"9,289,934"
66,Montagem Supersonic,https://www.youtube.com/watch?v=lM4v4sq8ypo,"KHAOS, Jmilton, MC JAJAU",https://i.ytimg.com/vi/lM4v4sq8ypo/default.jpg,"Jul 7, 2025",58,11,"9,228,554"
67,git,https://www.youtube.com/watch?v=JWLWczFtCag,Blok3,https://lh3.googleusercontent.com/AL5GFortkI-ABJdefiwQvoginRCm1hydrZbnVuDkfIHncunCZCw94GNk63KBwH4wwAz-XpXEHeSkSoE=w180-h180-l90-rj,"Jul 17, 2025",51,12,"9,192,983"
68,Blue Valentine,https://www.youtube.com/watch?v=EmeW6li6bbo,NMIXX,https://lh3.googleusercontent.com/sXqRmGk_AI1i0OF4SUDGNKz53RI2HqoafFD2zqDQaVfkRKL9BIy0tuAR0QWtu9cWUQ5VJ3eraRn8DJif=w180-h180-l90-rj,"Oct 13, 2025",55,3,"9,035,018"
69,Poison Baby (From “Thamma”),https://www.youtube.com/watch?v=JYRtKF4wknQ,"Sachin-Jigar, Jasmine Sandlas, Divya Kumar, Amitabh Bhattacharya",https://lh3.googleusercontent.com/1renKH0wnIsxKLORYC6F482TiqdVOUwSuDJWCBxHR1wuERpma_Hob0yX0fWCyAXEuNc2SDzPbfyzbKw=w180-h180-l90-rj,"Oct 13, 2025",64,4,"8,980,133"
70,Dil Ka Jo Haal Hai,https://www.youtube.com/watch?v=udgrClXV26Y,"Abhijeet Bhattacharya, Shreya Ghoshal, Lalit Pandit, RAJEEV BARNWAL",https://lh3.googleusercontent.com/1xqh-XUTsgt5I8DBxtXX4tNx4aav-xiTiI6gqVfira4nTdAza8S3WbYhVq4lsVVgWUgpvU8eeKPrUzI2zQ=w180-h180-l90-rj,"Aug 27, 2013",70,11,"8,642,985"
71,Tiroteo (Remix),https://www.youtube.com/watch?v=VEfkNHTjgs8,"Marc Seguí, Rauw Alejandro, Pol Granch",https://lh3.googleusercontent.com/bXtpYPGbSXsU1ibAnJ9Blx5AFvp_voU74m5ZNLrqRSSyDQvECBscB7Y1c4RiQ_d6N7QKOuY62fBuw4c=w180-h180-l90-rj,"Jan 14, 2021",62,12,"8,613,390"
